time,ghi,dni,dhi,temp_c,wind_ms,pressure_pa
20090105:1600,92.0,443.21,36.0,11.17,2.48,98310.0
20090105:1700,0.0,0.0,0.0,10.25,2.48,98320.0
20090105:1800,0.0,0.0,0.0,9.25,2.41,98320.0
20090105:1900,0.0,0.0,0.0,8.79,2.34,98250.0
20090105:2000,0.0,0.0,0.0,8.15,2.07,98210.0
20090105:2100,0.0,0.0,0.0,7.49,1.72,98220.0
20090105:2200,0.0,0.0,0.0,6.28,1.72,98210.0
20090105:2300,0.0,0.0,0.0,5.99,1.66,98200.0
20090106:0000,0.0,0.0,0.0,5.51,1.52,98160.0
20090106:0100,0.0,0.0,0.0,4.56,1.52,98100.0
20090106:0200,0.0,0.0,0.0,3.42,1.52,98050.0
20090106:0300,0.0,0.0,0.0,2.66,1.66,98000.0
20090106:0400,0.0,0.0,0.0,2.13,1.72,97960.0
20090106:0500,0.0,0.0,0.0,1.58,1.79,97910.0
20090106:0600,0.0,0.0,0.0,1.44,1.79,97910.0
20090106:0700,0.0,0.0,0.0,2.24,1.45,97910.0
20090106:0800,52.0,38.89,47.0,2.27,1.45,97920.0
20090106:0900,0.0,0.0,0.0,5.29,1.17,97950.0
20090106:1000,289.0,260.59,186.0,7.66,1.1,98000.0
20090106:1100,0.0,0.0,0.0,9.23,1.24,97970.0
20090106:1200,479.0,695.79,136.0,10.04,1.59,97900.0
20090106:1300,0.0,0.0,0.0,10.45,1.79,97810.0
20090106:1400,72.0,0.0,72.0,10.7,2.21,97760.0
20090106:1500,0.0,0.0,0.0,10.53,2.28,97760.0
20090106:1600,17.0,0.0,17.0,10.03,1.86,97780.0
20090106:1700,0.0,0.0,0.0,9.07,1.66,97800.0
20090106:1800,0.0,0.0,0.0,7.82,1.93,97850.0
20090106:1900,0.0,0.0,0.0,7.58,2.28,97850.0
20090106:2000,0.0,0.0,0.0,7.21,2.55,97880.0
20090106:2100,0.0,0.0,0.0,6.53,2.83,97890.0
20090106:2200,0.0,0.0,0.0,5.81,2.97,97900.0
20090106:2300,0.0,0.0,0.0,5.06,2.97,97900.0
20090107:0000,0.0,0.0,0.0,4.52,3.03,97910.0
20090107:0100,0.0,0.0,0.0,4.09,2.97,97900.0
20090107:0200,0.0,0.0,0.0,3.79,2.69,97910.0
20090107:0300,0.0,0.0,0.0,3.41,2.55,97940.0
20090107:0400,0.0,0.0,0.0,3.1,2.48,97920.0
20090107:0500,0.0,0.0,0.0,2.68,2.55,97950.0
20090107:0600,0.0,0.0,0.0,2.39,2.76,97980.0
20090107:0700,0.0,0.0,0.0,2.24,3.03,98000.0
20090107:0800,82.0,240.4,51.0,2.07,3.17,98070.0
20090107:0900,0.0,0.0,0.0,2.91,3.24,98120.0
20090107:1000,267.0,174.08,198.0,4.02,4.07,98180.0
20090107:1100,0.0,0.0,0.0,5.08,3.86,98170.0
20090107:1200,435.0,456.71,209.0,5.85,3.38,98140.0
20090107:1300,0.0,0.0,0.0,6.63,2.9,98050.0
20090107:1400,243.0,115.59,197.0,7.07,2.48,98010.0
20090107:1500,0.0,0.0,0.0,7.17,2.14,98010.0
20090107:1600,63.0,83.54,52.0,6.88,1.59,98030.0
20090107:1700,0.0,0.0,0.0,5.83,1.03,98090.0
20090107:1800,0.0,0.0,0.0,4.8,0.97,98150.0
20090107:1900,0.0,0.0,0.0,3.4,1.31,98190.0
20090107:2000,0.0,0.0,0.0,2.3,1.52,98210.0
20090107:2100,0.0,0.0,0.0,1.36,1.52,98240.0
20090107:2200,0.0,0.0,0.0,0.47,1.66,98280.0
20090107:2300,0.0,0.0,0.0,0.02,1.66,98300.0
20090108:0000,0.0,0.0,0.0,-0.19,1.72,98300.0
20090108:0100,0.0,0.0,0.0,-0.07,1.66,98280.0
20090108:0200,0.0,0.0,0.0,-0.01,1.66,98260.0
20090108:0300,0.0,0.0,0.0,0.07,1.72,98260.0
20090108:0400,0.0,0.0,0.0,0.02,1.79,98230.0
20090108:0500,0.0,0.0,0.0,0.27,1.86,98230.0
20090108:0600,0.0,0.0,0.0,0.73,1.86,98270.0
20090108:0700,0.0,0.0,0.0,1.53,2.07,98250.0
20090108:0800,46.0,15.45,44.0,1.65,2.14,98300.0
20090108:0900,0.0,0.0,0.0,2.56,2.0,98380.0
20090108:1000,147.0,5.03,145.0,3.38,2.14,98440.0
20090108:1100,0.0,0.0,0.0,4.15,2.41,98430.0
20090108:1200,384.0,291.86,239.0,5.15,2.69,98380.0
20090108:1300,0.0,0.0,0.0,5.93,3.1,98310.0
20090108:1400,79.0,0.0,79.0,6.41,3.17,98280.0
20090108:1500,0.0,0.0,0.0,6.42,3.17,98310.0
20090108:1600,49.0,22.31,46.0,6.1,2.69,98340.0
20090108:1700,0.0,0.0,0.0,5.4,2.41,98390.0
20090108:1800,0.0,0.0,0.0,4.78,2.55,98440.0
20090108:1900,0.0,0.0,0.0,4.6,2.55,98410.0
20090108:2000,0.0,0.0,0.0,4.22,2.34,98430.0
20090108:2100,0.0,0.0,0.0,3.75,2.07,98440.0
20090108:2200,0.0,0.0,0.0,3.32,1.93,98440.0
20090108:2300,0.0,0.0,0.0,2.99,2.0,98470.0
20090109:0000,0.0,0.0,0.0,2.8,2.07,98450.0
20090109:0100,0.0,0.0,0.0,2.9,2.14,98420.0
20090109:0200,0.0,0.0,0.0,2.66,2.21,98410.0
20090109:0300,0.0,0.0,0.0,2.5,2.21,98400.0
20090109:0400,0.0,0.0,0.0,2.4,2.14,98370.0
20090109:0500,0.0,0.0,0.0,2.55,2.07,98370.0
20090109:0600,0.0,0.0,0.0,2.35,1.93,98390.0
20090109:0700,0.0,0.0,0.0,2.81,1.72,98410.0
20090109:0800,73.0,161.47,52.0,3.16,1.66,98490.0
20090109:0900,0.0,0.0,0.0,4.1,1.66,98540.0
20090109:1000,377.0,666.75,111.0,5.16,1.72,98580.0
20090109:1100,0.0,0.0,0.0,6.29,1.79,98570.0
20090109:1200,357.0,218.48,248.0,7.01,1.79,98530.0
20090109:1300,0.0,0.0,0.0,7.58,1.52,98480.0
20090109:1400,169.0,14.88,163.0,7.78,1.03,98460.0
20090109:1500,0.0,0.0,0.0,8.02,0.55,98460.0
20090109:1600,83.0,218.49,53.0,8.01,0.34,98470.0
20090109:1700,0.0,0.0,0.0,7.47,0.97,98500.0
20090109:1800,0.0,0.0,0.0,6.53,1.17,98550.0
20090109:1900,0.0,0.0,0.0,5.99,0.9,98560.0
20090109:2000,0.0,0.0,0.0,4.46,1.38,98610.0
20090109:2100,0.0,0.0,0.0,3.61,1.66,98630.0
20090109:2200,0.0,0.0,0.0,2.88,1.66,98670.0
20090109:2300,0.0,0.0,0.0,2.26,1.79,98690.0
20090110:0000,0.0,0.0,0.0,1.69,1.86,98690.0
20090110:0100,0.0,0.0,0.0,1.46,1.79,98670.0
20090110:0200,0.0,0.0,0.0,0.92,1.86,98660.0
20090110:0300,0.0,0.0,0.0,0.6,1.93,98630.0
20090110:0400,0.0,0.0,0.0,0.14,2.0,98610.0
20090110:0500,0.0,0.0,0.0,-0.08,1.93,98640.0
20090110:0600,0.0,0.0,0.0,-0.19,1.93,98670.0
20090110:0700,0.0,0.0,0.0,-0.39,2.0,98720.0
20090110:0800,102.0,504.7,36.0,-0.45,1.93,98770.0
20090110:0900,0.0,0.0,0.0,1.34,1.79,98800.0
20090110:1000,254.0,142.36,197.0,3.8,1.86,98840.0
20090110:1100,0.0,0.0,0.0,5.83,2.0,98860.0
20090110:1200,85.0,0.0,85.0,7.26,2.21,98810.0
20090110:1300,0.0,0.0,0.0,8.22,2.28,98760.0
20090110:1400,59.0,0.0,59.0,8.64,2.21,98730.0
20090110:1500,0.0,0.0,0.0,8.84,2.69,98710.0
20090110:1600,49.0,14.26,47.0,8.13,2.83,98740.0
20090110:1700,0.0,0.0,0.0,7.01,2.9,98780.0
20090110:1800,0.0,0.0,0.0,6.36,3.24,98880.0
20090110:1900,0.0,0.0,0.0,5.55,1.93,98900.0
20090110:2000,0.0,0.0,0.0,5.76,1.86,98950.0
20090110:2100,0.0,0.0,0.0,5.68,1.93,98990.0
20090110:2200,0.0,0.0,0.0,5.68,2.07,99050.0
20090110:2300,0.0,0.0,0.0,5.57,2.34,99050.0
20090111:0000,0.0,0.0,0.0,5.59,2.62,99070.0
20090111:0100,0.0,0.0,0.0,5.99,2.97,99070.0
20090111:0200,0.0,0.0,0.0,6.15,3.17,99080.0
20090111:0300,0.0,0.0,0.0,6.42,3.31,99080.0
20090111:0400,0.0,0.0,0.0,6.51,3.38,99090.0
20090111:0500,0.0,0.0,0.0,6.63,3.72,99130.0
20090111:0600,0.0,0.0,0.0,6.64,4.0,99200.0
20090111:0700,0.0,0.0,0.0,6.66,3.79,99280.0
20090111:0800,95.0,402.76,42.0,6.65,3.59,99380.0
20090111:0900,0.0,0.0,0.0,7.34,3.45,99440.0
20090111:1000,310.0,323.41,180.0,8.25,3.59,99510.0
20090111:1100,0.0,0.0,0.0,9.18,4.41,99540.0
20090111:1200,543.0,961.5,59.0,10.34,5.17,99470.0
20090111:1300,0.0,0.0,0.0,10.85,5.17,99400.0
20090111:1400,356.0,513.86,146.0,11.09,4.97,99360.0
20090111:1500,0.0,0.0,0.0,10.76,4.55,99370.0
20090111:1600,107.0,474.81,39.0,9.92,4.0,99380.0
20090111:1700,0.0,0.0,0.0,8.97,3.52,99430.0
20090111:1800,0.0,0.0,0.0,8.43,3.17,99490.0
20090111:1900,0.0,0.0,0.0,8.42,3.17,99540.0
20090111:2000,0.0,0.0,0.0,7.87,2.9,99580.0
20090111:2100,0.0,0.0,0.0,7.76,2.76,99590.0
20090111:2200,0.0,0.0,0.0,7.21,2.55,99580.0
20090111:2300,0.0,0.0,0.0,6.34,2.41,99550.0
20090112:0000,0.0,0.0,0.0,5.68,2.34,99520.0
20090112:0100,0.0,0.0,0.0,4.75,2.34,99480.0
20090112:0200,0.0,0.0,0.0,3.98,2.41,99430.0
20090112:0300,0.0,0.0,0.0,3.35,2.48,99400.0
20090112:0400,0.0,0.0,0.0,2.87,2.55,99370.0
20090112:0500,0.0,0.0,0.0,2.45,2.48,99360.0
20090112:0600,0.0,0.0,0.0,2.04,2.48,99370.0
20090112:0700,0.0,0.0,0.0,2.13,2.48,99430.0
20090112:0800,97.0,407.49,43.0,2.27,2.41,99440.0
20090112:0900,270.0,728.45,62.0,4.45,2.34,99480.0
20090112:1000,416.0,864.65,67.0,7.47,2.34,99510.0
20090112:1100,505.0,898.17,75.0,9.76,2.9,99480.0
20090112:1200,549.0,960.91,63.0,11.27,3.24,99420.0
20090112:1300,514.0,921.59,69.0,12.15,3.1,99320.0
20090112:1400,424.0,864.97,68.0,12.64,2.9,99290.0
20090112:1500,282.0,741.32,62.0,12.78,2.62,99270.0
20090112:1600,114.0,505.9,40.0,12.25,1.72,99260.0
20090112:1700,0.0,0.0,0.0,10.64,1.24,99280.0
20090112:1800,0.0,0.0,0.0,8.86,1.17,99290.0
20090112:1900,0.0,0.0,0.0,6.67,1.52,99290.0
20090112:2000,0.0,0.0,0.0,5.2,1.79,99280.0
20090112:2100,0.0,0.0,0.0,4.3,2.07,99250.0
20090112:2200,0.0,0.0,0.0,3.38,2.14,99210.0
20090112:2300,0.0,0.0,0.0,2.78,2.14,99140.0
20090113:0000,0.0,0.0,0.0,2.2,2.14,99120.0
20090113:0100,0.0,0.0,0.0,1.7,2.21,99030.0
20090113:0200,0.0,0.0,0.0,1.35,2.21,98990.0
20090113:0300,0.0,0.0,0.0,1.03,2.21,98950.0
20090113:0400,0.0,0.0,0.0,0.73,2.28,98880.0
20090113:0500,0.0,0.0,0.0,0.54,2.34,98860.0
20090113:0600,0.0,0.0,0.0,0.46,2.28,98850.0
20090113:0700,0.0,0.0,0.0,0.91,2.14,98890.0
20090113:0800,62.0,67.39,53.0,1.16,1.93,98890.0
20090113:0900,152.0,73.19,131.0,3.27,1.66,98900.0
20090113:1000,256.0,138.13,200.0,6.06,1.45,98930.0
20090113:1100,476.0,729.88,125.0,8.86,1.24,98890.0
20090113:1200,402.0,318.73,240.0,10.44,1.24,98800.0
20090113:1300,204.0,12.35,198.0,11.58,1.1,98680.0
20090113:1400,339.0,388.37,178.0,12.13,1.17,98600.0
20090113:1500,188.0,156.73,141.0,12.18,1.31,98590.0
20090113:1600,92.0,214.2,60.0,11.7,0.83,98590.0
20090113:1700,0.0,0.0,0.0,10.76,1.1,98600.0
20090113:1800,0.0,0.0,0.0,9.37,1.31,98640.0
20090113:1900,0.0,0.0,0.0,8.78,1.86,98640.0
20090113:2000,0.0,0.0,0.0,7.76,2.14,98660.0
20090113:2100,0.0,0.0,0.0,7.02,2.41,98650.0
20090113:2200,0.0,0.0,0.0,6.47,2.97,98650.0
20090113:2300,0.0,0.0,0.0,6.2,3.52,98640.0
20090114:0000,0.0,0.0,0.0,5.95,3.66,98640.0
20090114:0100,0.0,0.0,0.0,5.8,3.79,98600.0
20090114:0200,0.0,0.0,0.0,5.58,4.0,98600.0
20090114:0300,0.0,0.0,0.0,5.53,4.28,98600.0
20090114:0400,0.0,0.0,0.0,5.44,4.48,98590.0
20090114:0500,0.0,0.0,0.0,5.29,4.62,98610.0
20090114:0600,0.0,0.0,0.0,5.14,4.76,98660.0
20090114:0700,0.0,0.0,0.0,5.37,5.17,98710.0
20090114:0800,97.0,378.65,46.0,5.37,5.1,98760.0
20090114:0900,269.0,689.92,70.0,6.42,4.34,98800.0
20090114:1000,412.0,822.5,77.0,7.99,5.03,98840.0
20090114:1100,494.0,817.54,99.0,9.51,4.69,98840.0
20090114:1200,541.0,902.41,80.0,10.79,4.07,98800.0
20090114:1300,513.0,890.48,78.0,11.73,3.31,98740.0
20090114:1400,427.0,847.66,73.0,12.31,2.69,98690.0
20090114:1500,287.0,735.86,64.0,12.57,2.28,98680.0
20090114:1600,120.0,517.76,41.0,12.3,1.24,98670.0
20090114:1700,0.0,0.0,0.0,10.76,0.97,98700.0
20090114:1800,0.0,0.0,0.0,8.36,1.59,98710.0
20090114:1900,0.0,0.0,0.0,6.85,1.59,98750.0
20090114:2000,0.0,0.0,0.0,5.66,1.72,98750.0
20090114:2100,0.0,0.0,0.0,4.74,1.79,98740.0
20090114:2200,0.0,0.0,0.0,4.04,1.86,98750.0
20090114:2300,0.0,0.0,0.0,3.62,1.79,98740.0
20090115:0000,0.0,0.0,0.0,3.33,1.79,98710.0
20090115:0100,0.0,0.0,0.0,3.13,1.72,98660.0
20090115:0200,0.0,0.0,0.0,2.9,1.66,98620.0
20090115:0300,0.0,0.0,0.0,2.58,1.66,98560.0
20090115:0400,0.0,0.0,0.0,2.24,1.59,98490.0
20090115:0500,0.0,0.0,0.0,2.15,1.59,98470.0
20090115:0600,0.0,0.0,0.0,1.82,1.66,98450.0
20090115:0700,0.0,0.0,0.0,1.84,1.59,98520.0
20090115:0800,97.0,375.18,46.0,1.9,1.52,98530.0
20090115:0900,235.0,427.51,111.0,4.35,1.31,98550.0
20090115:1000,413.0,820.94,77.0,7.12,1.24,98570.0
20090115:1100,502.0,848.59,90.0,9.04,1.03,98540.0
20090115:1200,558.0,963.9,63.0,10.39,0.97,98480.0
20090115:1300,522.0,913.61,73.0,11.26,1.31,98390.0
20090115:1400,436.0,881.72,65.0,11.78,1.45,98340.0
20090115:1500,304.0,829.28,50.0,11.89,1.45,98300.0
20090115:1600,126.0,564.73,38.0,11.69,1.31,98300.0
20090115:1700,0.0,0.0,0.0,10.75,1.31,98340.0
20090115:1800,0.0,0.0,0.0,8.95,1.17,98380.0
20090115:1900,0.0,0.0,0.0,7.16,1.52,98390.0
20090115:2000,0.0,0.0,0.0,6.26,1.59,98410.0
20090115:2100,0.0,0.0,0.0,5.4,1.72,98430.0
20090115:2200,0.0,0.0,0.0,4.57,1.72,98460.0
20090115:2300,0.0,0.0,0.0,4.0,1.66,98470.0
20090116:0000,0.0,0.0,0.0,3.8,1.66,98490.0
20090116:0100,0.0,0.0,0.0,3.46,1.72,98470.0
20090116:0200,0.0,0.0,0.0,3.36,1.72,98480.0
20090116:0300,0.0,0.0,0.0,3.21,1.72,98510.0
20090116:0400,0.0,0.0,0.0,3.06,1.79,98520.0
20090116:0500,0.0,0.0,0.0,2.97,1.86,98550.0
20090116:0600,0.0,0.0,0.0,2.92,1.86,98610.0
20090116:0700,0.0,0.0,0.0,3.1,1.86,98720.0
20090116:0800,14.0,0.0,14.0,3.33,1.86,98770.0
20090116:0900,84.0,0.0,84.0,4.88,1.59,98850.0
20090116:1000,402.0,758.42,90.0,7.33,1.52,98920.0
20090116:1100,442.0,555.36,171.0,9.4,1.86,98930.0
20090116:1200,307.0,98.78,256.0,10.61,2.28,98900.0
20090116:1300,489.0,756.32,115.0,11.44,2.69,98870.0
20090116:1400,298.0,224.06,203.0,11.76,3.03,98820.0
20090116:1500,273.0,594.31,89.0,11.75,3.03,98840.0
20090116:1600,71.0,56.56,62.0,11.25,2.28,98870.0
20090116:1700,0.0,0.0,0.0,10.43,2.0,98900.0
20090116:1800,0.0,0.0,0.0,9.64,2.0,98930.0
20090116:1900,0.0,0.0,0.0,9.31,2.14,98940.0
20090116:2000,0.0,0.0,0.0,8.81,2.28,98970.0
20090116:2100,0.0,0.0,0.0,8.42,2.14,99000.0
20090116:2200,0.0,0.0,0.0,8.01,2.0,99020.0
20090116:2300,0.0,0.0,0.0,7.35,2.07,99030.0
20090117:0000,0.0,0.0,0.0,6.71,2.14,99020.0
20090117:0100,0.0,0.0,0.0,6.01,2.07,99000.0
20090117:0200,0.0,0.0,0.0,5.43,2.07,99000.0
20090117:0300,0.0,0.0,0.0,5.08,2.07,98990.0
20090117:0400,0.0,0.0,0.0,4.85,2.14,98970.0
20090117:0500,0.0,0.0,0.0,4.81,2.14,98960.0
20090117:0600,0.0,0.0,0.0,4.66,2.14,99000.0
20090117:0700,0.0,0.0,0.0,4.52,2.0,99050.0
20090117:0800,94.0,317.13,50.0,4.48,1.93,99090.0
20090117:0900,260.0,592.66,86.0,6.62,1.72,99150.0
20090117:1000,359.0,498.09,153.0,9.31,1.79,99210.0
20090117:1100,502.0,839.91,90.0,10.75,2.34,99200.0
20090117:1200,542.0,880.21,85.0,11.75,2.41,99180.0
20090117:1300,515.0,868.12,83.0,12.37,2.28,99110.0
20090117:1400,421.0,769.96,92.0,12.67,2.21,99070.0
20090117:1500,257.0,456.89,114.0,12.6,2.07,99040.0
20090117:1600,99.0,209.24,65.0,12.16,1.86,99050.0
20090117:1700,0.0,0.0,0.0,11.3,1.59,99060.0
20090117:1800,0.0,0.0,0.0,9.99,1.45,99090.0
20090117:1900,0.0,0.0,0.0,8.5,1.31,99110.0
20090117:2000,0.0,0.0,0.0,7.75,1.31,99140.0
20090117:2100,0.0,0.0,0.0,6.4,1.59,99170.0
20090117:2200,0.0,0.0,0.0,5.43,1.66,99190.0
20090117:2300,0.0,0.0,0.0,4.87,1.52,99190.0
20090118:0000,0.0,0.0,0.0,4.18,1.72,99170.0
20090118:0100,0.0,0.0,0.0,3.9,1.79,99150.0
20090118:0200,0.0,0.0,0.0,3.63,1.79,99130.0
20090118:0300,0.0,0.0,0.0,3.17,1.59,99110.0
20090118:0400,0.0,0.0,0.0,2.79,1.59,99020.0
20090118:0500,0.0,0.0,0.0,2.27,1.66,99050.0
20090118:0600,0.0,0.0,0.0,1.9,1.79,99070.0
20090118:0700,0.0,0.0,0.0,1.87,1.86,99130.0
20090118:0800,108.0,484.66,40.0,1.92,1.66,99160.0
20090118:0900,274.0,697.07,68.0,5.05,1.31,99190.0
20090118:1000,415.0,800.71,82.0,8.94,1.38,99260.0
20090118:1100,503.0,827.28,95.0,11.29,1.66,99240.0
20090118:1200,544.0,871.38,89.0,12.78,2.21,99190.0
20090118:1300,523.0,882.52,81.0,13.7,2.55,99120.0
20090118:1400,437.0,840.56,75.0,14.2,2.97,99040.0
20090118:1500,297.0,723.7,68.0,14.39,2.9,99020.0
20090118:1600,126.0,458.07,50.0,13.93,2.48,99010.0
20090118:1700,0.0,0.0,0.0,12.37,2.62,99020.0
20090118:1800,0.0,0.0,0.0,11.06,2.69,99040.0
20090118:1900,0.0,0.0,0.0,10.84,2.62,98990.0
20090118:2000,0.0,0.0,0.0,9.99,2.21,99000.0
20090118:2100,0.0,0.0,0.0,8.77,1.86,98970.0
20090118:2200,0.0,0.0,0.0,7.58,1.66,98990.0
20090118:2300,0.0,0.0,0.0,6.61,1.72,98990.0
20090119:0000,0.0,0.0,0.0,5.77,1.66,98940.0
20090119:0100,0.0,0.0,0.0,5.24,1.66,98830.0
20090119:0200,0.0,0.0,0.0,4.93,1.72,98770.0
